CMTE_ID,TRANSACTION_DT,TRANSACTION_AMT,Year,Date,Month
C00412304,5082018.0,100,2018,08,5
C00412304,5122018.0,25,2018,12,5
C00412304,5162018.0,500,2018,16,5
C00412304,5072018.0,100,2018,07,5
C00412304,5012018.0,100,2018,01,5
C00412304,5022018.0,200,2018,02,5
C00412304,5092018.0,10,2018,09,5
C00412304,5142018.0,10,2018,14,5
C00412304,5132018.0,50,2018,13,5
C00412304,5152018.0,50,2018,15,5
C00412304,5012018.0,250,2018,01,5
C00412304,5072018.0,250,2018,07,5
C00412304,5012018.0,50,2018,01,5
C00412304,5072018.0,250,2018,07,5
C00412304,5072018.0,1000,2018,07,5
C00412304,5052018.0,10,2018,05,5
C00412304,5052018.0,25,2018,05,5
C00412304,5032018.0,32,2018,03,5
C00412304,5012018.0,2400,2018,01,5
C00412304,5012018.0,25,2018,01,5
C00412304,5062018.0,25,2018,06,5
C00412304,5032018.0,500,2018,03,5
C00412304,5152018.0,100,2018,15,5
C00412304,5092018.0,350,2018,09,5
C00412304,5152018.0,250,2018,15,5
C00412304,5022018.0,500,2018,02,5
C00412304,5012018.0,5,2018,01,5
C00412304,5112018.0,1000,2018,11,5
C00412304,5162018.0,50,2018,16,5
C00412304,5012018.0,2000,2018,01,5
C00412304,5062018.0,100,2018,06,5
C00412304,5032018.0,100,2018,03,5
C00412304,5112018.0,5,2018,11,5
C00412304,5032018.0,250,2018,03,5
C00412304,5152018.0,500,2018,15,5
C00412304,5022018.0,500,2018,02,5
C00412304,5022018.0,500,2018,02,5
C00412304,5092018.0,250,2018,09,5
C00412304,5012018.0,50,2018,01,5
C00412304,5152018.0,250,2018,15,5
C00412304,5032018.0,2,2018,03,5
C00412304,5012018.0,5,2018,01,5
C00412304,5152018.0,10,2018,15,5
C00412304,5142018.0,10,2018,14,5
C00412304,5152018.0,100,2018,15,5
C00412304,5012018.0,700,2018,01,5
C00412304,5142018.0,100,2018,14,5
C00412304,5152018.0,50,2018,15,5
C00412304,5112018.0,5,2018,11,5
C00412304,5132018.0,10,2018,13,5
C00412304,5092018.0,10,2018,09,5
C00412304,5152018.0,50,2018,15,5
C00412304,5072018.0,100,2018,07,5
C00412304,5162018.0,25,2018,16,5
C00412304,5062018.0,25,2018,06,5
C00412304,5092018.0,50,2018,09,5
C00412304,5102018.0,25,2018,10,5
C00412304,5152018.0,25,2018,15,5
C00412304,5162018.0,197,2018,16,5
C00412304,5162018.0,52,2018,16,5
C00412304,5072018.0,200,2018,07,5
C00412304,5022018.0,500,2018,02,5
C00412304,5152018.0,100,2018,15,5
C00412304,5142018.0,100,2018,14,5
C00412304,5162018.0,25,2018,16,5
C00412304,5012018.0,2625,2018,01,5
C00412304,5032018.0,10,2018,03,5
C00412304,5142018.0,10,2018,14,5
C00412304,5152018.0,10,2018,15,5
C00412304,5102018.0,100,2018,10,5
C00412304,5012018.0,1000,2018,01,5
C00412304,5022018.0,5,2018,02,5
C00412304,5012018.0,1,2018,01,5
C00412304,5032018.0,1,2018,03,5
C00412304,5032018.0,1,2018,03,5
C00412304,5032018.0,1,2018,03,5
C00412304,5142018.0,100,2018,14,5
C00412304,5012018.0,6,2018,01,5
C00412304,5102018.0,25,2018,10,5
C00412304,5122018.0,25,2018,12,5
C00412304,5152018.0,30,2018,15,5
C00412304,5142018.0,5,2018,14,5
C00412304,5032018.0,25,2018,03,5
C00412304,5122018.0,10,2018,12,5
C00412304,5152018.0,50,2018,15,5
C00412304,5022018.0,25,2018,02,5
C00412304,5022018.0,100,2018,02,5
C00412304,5032018.0,25,2018,03,5
C00412304,5142018.0,10,2018,14,5
C00412304,5162018.0,5,2018,16,5
C00412304,5152018.0,5,2018,15,5
C00412304,5022018.0,10,2018,02,5
C00412304,5032018.0,16,2018,03,5
C00412304,5032018.0,16,2018,03,5
C00412304,5132018.0,50,2018,13,5
C00412304,5082018.0,20,2018,08,5
C00412304,5102018.0,25,2018,10,5
C00412304,5162018.0,5,2018,16,5
C00412304,5032018.0,35,2018,03,5
C00412304,5032018.0,2,2018,03,5
C00412304,5032018.0,4,2018,03,5
C00412304,5022018.0,5,2018,02,5
C00412304,5142018.0,1000,2018,14,5
C00412304,5012018.0,200,2018,01,5
C00412304,5042018.0,12,2018,04,5
C00412304,5072018.0,150,2018,07,5
C00412304,5142018.0,250,2018,14,5
C00412304,5072018.0,1000,2018,07,5
C00412304,5102018.0,17,2018,10,5
C00412304,5162018.0,25,2018,16,5
C00412304,5082018.0,100,2018,08,5
C00412304,5022018.0,100,2018,02,5
C00412304,5132018.0,5,2018,13,5
C00412304,5162018.0,100,2018,16,5
C00412304,5122018.0,15,2018,12,5
C00412304,5162018.0,10,2018,16,5
C00412304,5152018.0,10,2018,15,5
C00412304,5162018.0,300,2018,16,5
C00412304,5022018.0,250,2018,02,5
C00412304,5012018.0,250,2018,01,5
C00412304,5152018.0,250,2018,15,5
C00412304,5142018.0,100,2018,14,5
C00412304,5012018.0,1200,2018,01,5
C00412304,5012018.0,23,2018,01,5
C00412304,5132018.0,1,2018,13,5
C00412304,5082018.0,10,2018,08,5
C00412304,5152018.0,750,2018,15,5
C00412304,5152018.0,250,2018,15,5
C00412304,5092018.0,15,2018,09,5
C00412304,5152018.0,50,2018,15,5
C00412304,5152018.0,100,2018,15,5
C00412304,5152018.0,1000,2018,15,5
C00412304,5092018.0,50,2018,09,5
C00412304,5152018.0,100,2018,15,5
C00412304,5152018.0,100,2018,15,5
C00412304,5122018.0,25,2018,12,5
C00412304,5072018.0,2700,2018,07,5
C00412304,5012018.0,25,2018,01,5
C00412304,5032018.0,5,2018,03,5
C00412304,5042018.0,5,2018,04,5
C00412304,5012018.0,2,2018,01,5
C00412304,5032018.0,25,2018,03,5
C00412304,5082018.0,2,2018,08,5
C00412304,5152018.0,100,2018,15,5
C00412304,5032018.0,50,2018,03,5
C00412304,5152018.0,50,2018,15,5
C00412304,5072018.0,150,2018,07,5
C00412304,5102018.0,100,2018,10,5
C00412304,5072018.0,15,2018,07,5
C00412304,5082018.0,25,2018,08,5
C00412304,5032018.0,10,2018,03,5
C00412304,5142018.0,10,2018,14,5
C00412304,5162018.0,10,2018,16,5
C00412304,5152018.0,500,2018,15,5
C00412304,5032018.0,17,2018,03,5
C00412304,5132018.0,8,2018,13,5
C00412304,5092018.0,2700,2018,09,5
C00412304,5092018.0,2700,2018,09,5
C00412304,5152018.0,250,2018,15,5
C00412304,5162018.0,1300,2018,16,5
C00412304,5152018.0,150,2018,15,5
C00412304,5022018.0,13,2018,02,5
C00412304,5122018.0,25,2018,12,5
C00412304,5022018.0,100,2018,02,5
C00412304,5022018.0,12,2018,02,5
C00412304,5082018.0,11,2018,08,5
C00412304,5032018.0,10,2018,03,5
C00412304,5072018.0,5,2018,07,5
C00412304,5022018.0,50,2018,02,5
C00412304,5032018.0,50,2018,03,5
C00412304,5082018.0,25,2018,08,5
C00412304,5092018.0,10,2018,09,5
C00412304,5012018.0,200,2018,01,5
C00412304,5052018.0,250,2018,05,5
C00412304,5152018.0,25,2018,15,5
C00412304,5152018.0,1,2018,15,5
C00412304,5142018.0,5,2018,14,5
C00412304,5142018.0,3,2018,14,5
C00412304,5152018.0,2,2018,15,5
C00412304,5162018.0,5,2018,16,5
C00412304,5142018.0,100,2018,14,5
C00412304,5152018.0,50,2018,15,5
C00412304,5052018.0,250,2018,05,5
C00412304,5012018.0,500,2018,01,5
C00412304,5122018.0,700,2018,12,5
C00412304,5122018.0,300,2018,12,5
C00412304,5042018.0,10,2018,04,5
C00412304,5122018.0,25,2018,12,5
C00412304,5142018.0,1000,2018,14,5
C00412304,5102018.0,1000,2018,10,5
C00412304,5102018.0,100,2018,10,5
C00412304,5162018.0,450,2018,16,5
C00412304,5152018.0,500,2018,15,5
C00412304,5072018.0,150,2018,07,5
C00412304,5042018.0,250,2018,04,5
C00412304,5032018.0,4,2018,03,5
C00412304,5132018.0,25,2018,13,5
C00412304,5152018.0,2700,2018,15,5
C00412304,5032018.0,50,2018,03,5
C00412304,5162018.0,1000,2018,16,5
C00412304,5022018.0,12,2018,02,5
C00412304,5112018.0,25,2018,11,5
C00412304,5022018.0,100,2018,02,5
C00412304,5092018.0,200,2018,09,5
C00412304,5152018.0,25,2018,15,5
C00412304,5152018.0,250,2018,15,5
C00412304,5012018.0,50,2018,01,5
C00412304,5032018.0,1000,2018,03,5
C00412304,5152018.0,10,2018,15,5
C00412304,5102018.0,250,2018,10,5
C00412304,5162018.0,50,2018,16,5
C00412304,5032018.0,25,2018,03,5
C00412304,5032018.0,2,2018,03,5
C00412304,5112018.0,10,2018,11,5
C00412304,5142018.0,10,2018,14,5
C00412304,5012018.0,3,2018,01,5
C00412304,5142018.0,5,2018,14,5
C00412304,5132018.0,5,2018,13,5
C00412304,5072018.0,10,2018,07,5
C00412304,5032018.0,50,2018,03,5
C00412304,5032018.0,7,2018,03,5
C00412304,5042018.0,12,2018,04,5
C00412304,5032018.0,8,2018,03,5
C00412304,5062018.0,25,2018,06,5
C00412304,5052018.0,10,2018,05,5
C00412304,5162018.0,2700,2018,16,5
C00412304,5042018.0,50,2018,04,5
C00412304,5142018.0,10,2018,14,5
C00412304,5012018.0,250,2018,01,5
C00412304,5032018.0,7,2018,03,5
C00412304,5012018.0,10,2018,01,5
C00412304,5142018.0,3,2018,14,5
C00412304,5082018.0,10,2018,08,5
C00412304,5072018.0,50,2018,07,5
C00412304,5012018.0,100,2018,01,5
C00412304,5162018.0,100,2018,16,5
C00412304,5152018.0,300,2018,15,5
C00412304,5032018.0,25,2018,03,5
C00412304,5012018.0,5,2018,01,5
C00412304,5012018.0,50,2018,01,5
C00412304,5152018.0,250,2018,15,5
C00412304,5152018.0,250,2018,15,5
C00412304,5162018.0,500,2018,16,5
C00412304,5092018.0,25,2018,09,5
C00412304,5092018.0,50,2018,09,5
C00412304,5082018.0,25,2018,08,5
C00412304,5162018.0,12,2018,16,5
C00412304,5102018.0,5,2018,10,5
C00412304,5152018.0,300,2018,15,5
C00412304,5072018.0,100,2018,07,5
C00412304,5072018.0,1000,2018,07,5
C00412304,5162018.0,500,2018,16,5
C00412304,5082018.0,10,2018,08,5
C00412304,5092018.0,100,2018,09,5
C00412304,5152018.0,150,2018,15,5
C00412304,5082018.0,100,2018,08,5
C00412304,5032018.0,1000,2018,03,5
C00412304,5062018.0,10,2018,06,5
C00412304,5012018.0,250,2018,01,5
C00412304,5042018.0,51,2018,04,5
C00412304,5022018.0,50,2018,02,5
C00412304,5122018.0,1000,2018,12,5
C00412304,5012018.0,10,2018,01,5
C00412304,5142018.0,250,2018,14,5
C00412304,5012018.0,10,2018,01,5
C00412304,5152018.0,35,2018,15,5
C00412304,5102018.0,250,2018,10,5
C00412304,5022018.0,266,2018,02,5
C00412304,5072018.0,500,2018,07,5
C00412304,5072018.0,2700,2018,07,5
C00412304,5032018.0,50,2018,03,5
C00412304,5062018.0,34,2018,06,5
C00412304,5102018.0,500,2018,10,5
C00412304,5022018.0,25,2018,02,5
C00412304,5032018.0,25,2018,03,5
C00412304,5152018.0,10,2018,15,5
C00412304,5032018.0,150,2018,03,5
C00412304,5162018.0,25,2018,16,5
C00412304,5142018.0,1000,2018,14,5
C00412304,5022018.0,32,2018,02,5
C00412304,5022018.0,35,2018,02,5
C00412304,5152018.0,5,2018,15,5
C00412304,5142018.0,5,2018,14,5
C00412304,5122018.0,50,2018,12,5
C00412304,5012018.0,5,2018,01,5
C00412304,5032018.0,250,2018,03,5
C00412304,5062018.0,5,2018,06,5
C00412304,5012018.0,2700,2018,01,5
C00412304,5132018.0,50,2018,13,5
C00412304,5092018.0,100,2018,09,5
C00412304,5072018.0,100,2018,07,5
C00412304,5082018.0,100,2018,08,5
C00412304,5152018.0,100,2018,15,5
C00412304,5092018.0,50,2018,09,5
C00412304,5012018.0,250,2018,01,5
C00412304,5082018.0,100,2018,08,5
C00412304,5132018.0,100,2018,13,5
C00412304,5032018.0,5,2018,03,5
C00412304,5012018.0,25,2018,01,5
C00412304,5142018.0,1,2018,14,5
C00412304,5142018.0,1,2018,14,5
C00412304,5022018.0,50,2018,02,5
C00412304,5162018.0,12,2018,16,5
C00412304,5012018.0,50,2018,01,5
C00412304,5102018.0,5,2018,10,5
C00412304,5122018.0,5,2018,12,5
C00412304,5142018.0,2,2018,14,5
C00412304,5032018.0,7,2018,03,5
C00412304,5152018.0,300,2018,15,5
C00412304,5162018.0,200,2018,16,5
C00412304,5162018.0,25,2018,16,5
C00412304,5022018.0,25,2018,02,5
C00412304,5162018.0,2700,2018,16,5
C00412304,5162018.0,2700,2018,16,5
C00412304,5032018.0,10,2018,03,5
C00412304,5022018.0,10,2018,02,5
C00412304,5082018.0,2,2018,08,5
C00412304,5082018.0,5,2018,08,5
C00412304,5162018.0,10,2018,16,5
C00412304,5042018.0,500,2018,04,5
C00412304,5152018.0,100,2018,15,5
C00412304,5012018.0,1000,2018,01,5
C00412304,5122018.0,500,2018,12,5
C00412304,5112018.0,10,2018,11,5
C00412304,5042018.0,37,2018,04,5
C00412304,5032018.0,25,2018,03,5
C00412304,5072018.0,100,2018,07,5
C00412304,5112018.0,500,2018,11,5
C00412304,5112018.0,5,2018,11,5
C00412304,5052018.0,10,2018,05,5
C00412304,5032018.0,100,2018,03,5
C00412304,5042018.0,250,2018,04,5
C00412304,5022018.0,50,2018,02,5
C00412304,5112018.0,25,2018,11,5
C00412304,5062018.0,700,2018,06,5
C00412304,5152018.0,100,2018,15,5
C00412304,5072018.0,25,2018,07,5
C00412304,5142018.0,50,2018,14,5
C00412304,5082018.0,5,2018,08,5
C00412304,5162018.0,2700,2018,16,5
C00412304,5162018.0,2700,2018,16,5
C00412304,5112018.0,250,2018,11,5
C00412304,5042018.0,100,2018,04,5
C00412304,5162018.0,500,2018,16,5
C00412304,5142018.0,100,2018,14,5
C00412304,5012018.0,250,2018,01,5
C00412304,5082018.0,200,2018,08,5
C00412304,5052018.0,50,2018,05,5
C00412304,5012018.0,25,2018,01,5
C00412304,5082018.0,10,2018,08,5
C00412304,5162018.0,25,2018,16,5
C00412304,5152018.0,50,2018,15,5
C00412304,5152018.0,100,2018,15,5
C00412304,5152018.0,25,2018,15,5
C00412304,5162018.0,1000,2018,16,5
C00412304,5062018.0,2700,2018,06,5
C00412304,5062018.0,2700,2018,06,5
C00412304,5142018.0,50,2018,14,5
C00412304,5032018.0,500,2018,03,5
C00412304,5122018.0,25,2018,12,5
C00412304,5152018.0,50,2018,15,5
C00412304,5092018.0,25,2018,09,5
C00412304,5072018.0,100,2018,07,5
C00412304,5092018.0,250,2018,09,5
C00412304,5152018.0,100,2018,15,5
C00412304,5152018.0,300,2018,15,5
C00412304,5012018.0,350,2018,01,5
C00412304,5152018.0,50,2018,15,5
C00412304,5092018.0,12,2018,09,5
C00412304,5022018.0,25,2018,02,5
C00412304,5152018.0,25,2018,15,5
C00412304,5072018.0,500,2018,07,5
C00412304,5092018.0,250,2018,09,5
C00412304,5162018.0,500,2018,16,5
C00412304,5032018.0,150,2018,03,5
C00412304,5072018.0,100,2018,07,5
C00412304,5012018.0,100,2018,01,5
C00412304,5152018.0,1,2018,15,5
C00412304,5102018.0,250,2018,10,5
C00412304,5112018.0,500,2018,11,5
C00412304,5162018.0,25,2018,16,5
C00412304,5082018.0,25,2018,08,5
C00412304,5022018.0,250,2018,02,5
C00412304,5152018.0,5,2018,15,5
C00412304,5132018.0,100,2018,13,5
C00412304,5042018.0,100,2018,04,5
C00412304,5032018.0,1000,2018,03,5
C00412304,5102018.0,5,2018,10,5
C00412304,5142018.0,10,2018,14,5
C00412304,5152018.0,10,2018,15,5
C00412304,5022018.0,25,2018,02,5
C00412304,5122018.0,5,2018,12,5
C00412304,5022018.0,25,2018,02,5
C00412304,5022018.0,35,2018,02,5
C00412304,5082018.0,21,2018,08,5
C00412304,5132018.0,10,2018,13,5
C00412304,5072018.0,100,2018,07,5
C00412304,5152018.0,1000,2018,15,5
C00412304,5072018.0,25,2018,07,5
C00412304,5152018.0,100,2018,15,5
C00412304,5092018.0,50,2018,09,5
C00412304,5062018.0,500,2018,06,5
C00412304,5042018.0,50,2018,04,5
C00412304,5082018.0,50,2018,08,5
C00412304,5072018.0,250,2018,07,5
C00412304,5152018.0,500,2018,15,5
C00412304,5132018.0,8,2018,13,5
C00412304,5072018.0,25,2018,07,5
C00412304,5092018.0,25,2018,09,5
C00412304,5122018.0,10,2018,12,5
C00412304,5022018.0,25,2018,02,5
C00412304,5142018.0,5,2018,14,5
C00412304,5142018.0,5,2018,14,5
C00412304,5042018.0,200,2018,04,5
C00412304,5102018.0,50,2018,10,5
C00412304,5102018.0,25,2018,10,5
C00412304,5012018.0,100,2018,01,5
C00412304,5152018.0,100,2018,15,5
C00412304,5142018.0,1000,2018,14,5
C00412304,5152018.0,2200,2018,15,5
C00412304,5152018.0,200,2018,15,5
C00412304,5022018.0,1000,2018,02,5
C00412304,5152018.0,100,2018,15,5
C00412304,5032018.0,25,2018,03,5
C00412304,5162018.0,500,2018,16,5
C00412304,5152018.0,10,2018,15,5
C00412304,5072018.0,200,2018,07,5
C00412304,5092018.0,100,2018,09,5
C00412304,5102018.0,100,2018,10,5
C00412304,5152018.0,200,2018,15,5
C00412304,5122018.0,50,2018,12,5
C00412304,5122018.0,50,2018,12,5
C00412304,5072018.0,50,2018,07,5
C00412304,5072018.0,50,2018,07,5
C00412304,5122018.0,20,2018,12,5
C00412304,5152018.0,50,2018,15,5
C00412304,5042018.0,2,2018,04,5
C00412304,5032018.0,10,2018,03,5
C00412304,5102018.0,10,2018,10,5
C00412304,5152018.0,50,2018,15,5
C00412304,5012018.0,700,2018,01,5
C00412304,5032018.0,50,2018,03,5
C00412304,5152018.0,75,2018,15,5
C00412304,5152018.0,25,2018,15,5
C00412304,5152018.0,200,2018,15,5
C00412304,5152018.0,100,2018,15,5
C00412304,5102018.0,25,2018,10,5
C00412304,5142018.0,500,2018,14,5
C00412304,5092018.0,500,2018,09,5
C00412304,5142018.0,10,2018,14,5
C00412304,5152018.0,250,2018,15,5
C00412304,5092018.0,250,2018,09,5
C00412304,5152018.0,75,2018,15,5
C00412304,5142018.0,500,2018,14,5
C00412304,5122018.0,100,2018,12,5
C00412304,5092018.0,500,2018,09,5
C00412304,5152018.0,10,2018,15,5
C00412304,5132018.0,100,2018,13,5
C00412304,5122018.0,25,2018,12,5
C00412304,5022018.0,150,2018,02,5
C00412304,5092018.0,50,2018,09,5
C00412304,5022018.0,25,2018,02,5
C00412304,5162018.0,100,2018,16,5
C00412304,5012018.0,100,2018,01,5
C00412304,5032018.0,100,2018,03,5
C00412304,5142018.0,25,2018,14,5
C00412304,5142018.0,5,2018,14,5
C00412304,5052018.0,25,2018,05,5
C00412304,5072018.0,500,2018,07,5
C00412304,5102018.0,250,2018,10,5
C00412304,5162018.0,500,2018,16,5
C00412304,5092018.0,100,2018,09,5
C00412304,5042018.0,2,2018,04,5
C00412304,5032018.0,10,2018,03,5
C00412304,5122018.0,10,2018,12,5
C00412304,5092018.0,250,2018,09,5
C00412304,5052018.0,25,2018,05,5
C00412304,5162018.0,25,2018,16,5
C00412304,5162018.0,2700,2018,16,5
C00412304,5162018.0,2700,2018,16,5
C00412304,5012018.0,50,2018,01,5
C00412304,5152018.0,100,2018,15,5
C00412304,5022018.0,500,2018,02,5
C00412304,5022018.0,100,2018,02,5
C00412304,5062018.0,1000,2018,06,5
C00412304,5032018.0,50,2018,03,5
C00412304,5122018.0,5,2018,12,5
C00412304,5022018.0,50,2018,02,5
C00412304,5152018.0,150,2018,15,5
C00412304,5082018.0,10,2018,08,5
C00412304,5142018.0,51,2018,14,5
C00412304,5162018.0,100,2018,16,5
C00412304,5152018.0,100,2018,15,5
C00412304,5092018.0,200,2018,09,5
C00412304,5142018.0,100,2018,14,5
C00412304,5012018.0,5,2018,01,5
C00412304,5022018.0,17,2018,02,5
C00412304,5152018.0,100,2018,15,5
C00412304,5162018.0,150,2018,16,5
C00412304,5042018.0,20,2018,04,5
C00412304,5072018.0,25,2018,07,5
C00412304,5152018.0,2700,2018,15,5
C00412304,5152018.0,2700,2018,15,5
C00412304,5152018.0,2700,2018,15,5
C00412304,5152018.0,2700,2018,15,5
C00412304,5152018.0,2700,2018,15,5
C00412304,5152018.0,2700,2018,15,5
C00412304,5122018.0,25,2018,12,5
C00412304,5152018.0,2700,2018,15,5
C00412304,5152018.0,2700,2018,15,5
C00412304,5142018.0,1400,2018,14,5
C00412304,5142018.0,1300,2018,14,5
C00412304,5092018.0,250,2018,09,5
